cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index
19800.0,1.34,460.8,129800.0,-4.76,9.68,323.91999999999996,3.0
20100.0,1.56,463.53999999999996,126000.0,-3.66,9.440000000000001,318.14,3.0
20400.0,1.78,459.14,118000.0,-2.98,9.4,317.91999999999996,3.0
20700.0,1.6600000000000001,460.9,118800.0,-1.16,9.26,318.84000000000003,3.0
21000.0,1.9600000000000002,482.46000000000004,157600.0,-1.48,10.559999999999999,314.08000000000004,3.0
21300.0,1.64,482.78000000000003,168800.0,-0.8400000000000001,10.52,314.74,3.0
21600.0,1.48,479.28000000000003,155000.0,-1.52,10.38,316.3,3.0
21900.0,1.52,475.3,145200.0,-2.94,10.2,319.06,3.0
22200.0,1.52,473.64,128000.0,-3.06,10.059999999999999,320.06,3.0
22500.0,1.52,480.64,126000.0,-2.34,10.040000000000001,319.74,3.0
22800.0,1.6600000000000001,488.88,144000.0,-2.0,9.959999999999999,314.2,3.0
23100.0,1.59,486.36,138400.0,-1.9,9.92,315.58000000000004,3.0
23400.0,1.56,478.41999999999996,125400.0,-0.42000000000000004,9.82,316.2,3.0
23700.0,1.56,472.0,129000.0,-0.8399999999999999,9.88,319.9,3.0
24000.0,1.46,470.52,125600.0,-1.56,9.88,319.0,3.0
24300.0,1.52,467.62,121200.0,-1.48,9.8,323.71999999999997,3.0
24600.0,1.52,465.64,126600.0,-1.3599999999999999,9.78,319.98,3.0
24900.0,1.3199999999999998,453.96999999999997,122580.0,-0.6599999999999999,9.8,315.56,3.0
25200.0,1.1,443.03999999999996,134360.0,-2.8,9.719999999999999,308.1,3.0
25500.0,1.44,481.43999999999994,148200.0,-3.08,9.76,308.76,3.0
25800.0,1.5,486.23999999999995,166400.0,-3.7,9.8,305.65999999999997,3.0
26100.0,1.3199999999999998,489.21999999999997,160400.0,-2.6399999999999997,9.88,305.94,3.0
26400.0,1.2,483.71999999999997,159400.0,-1.86,9.76,307.32,3.0
26700.0,1.3042105263157895,486.71473684210525,151705.26315789475,-1.5778181818181818,9.919636363636362,306.0432727272727,3.0
27000.0,1.3210526315789475,486.17368421052635,144526.31578947368,-1.6818181818181817,9.763636363636362,310.2272727272727,3.0
27300.0,1.3385964912280701,484.40175438596486,141631.57894736843,-1.6636363636363636,9.427272727272728,314.75454545454545,3.0
27600.0,1.356140350877193,482.62982456140355,138736.84210526315,-1.6454545454545453,9.09090909090909,319.28181818181815,3.0
27900.0,1.3736842105263158,480.85789473684207,135842.1052631579,-1.6272727272727274,8.754545454545454,323.8090909090909,3.0
28200.0,1.3912280701754387,479.0859649122807,132947.36842105264,-1.609090909090909,8.418181818181818,328.3363636363636,3.0
