,cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index
98,29400,1.461403509,471.9982456,121368.4211,-1.536363636,7.072727273,346.4454545,8
99,29700,1.478947368,470.2263158,118473.6842,-1.518181818,6.736363636,350.9727273,7
100,30000,1.495789474,468.4852632,114694.7368,-1.362181818,7.800363636,341.3567273,8
101,30300,1.22,472.6,142800,-0.92,9.78,321.78,8
102,30600,1.24,467.68,139280,-0.56,9.64,323.96,8
103,30900,1.25,465.72,118200,-0.56,9.62,322.66,8
104,31200,1.34,464.92,131400,-1.24,9.68,321.84,8
105,31500,1.26,461.02,124720,-0.48,9.68,324.14,7
106,31800,0.88,463.2,118000,2.34,9.74,331.88,8
107,32100,0.9,471.24,144000,2.56,9.76,329.66,7
108,32400,0.94,471.08,123200,2.7,9.72,329.56,8
109,32700,0.86,469.74,143600,3.12,9.54,326.32,8
110,33000,0.93,478.57,158200,2.92,9.56,324.8,8
111,33300,0.82,475,146800,3.8,9.6,331.52,7
112,33600,0.82,466.82,150200,3.9,9.5,340.64,7
113,33900,0.76,465.98,167400,4.22,9.56,338.44,8
114,34200,0.96,470.24,186400,4.54,9.54,340.58,8
115,34500,0.9,467.66,173800,4.54,9.52,346,7
116,34800,0.86,466.54,165700,3.34,9.66,341.14,8
117,35100,1,471.38,166200,6.14,9.54,77.8,5
118,35400,1.08,475.38,221400,6.4,9.42,7.1,8
119,35700,0.88,478.54,211600,7.18,9.54,15.16,8
120,36000,0.78,472.82,162400,7.2,9.52,10.46,8
121,36300,0.82,476.82,178600,7.32,9.48,13.84,8
122,36600,0.76,488.52,163600,8.08,9.58,19.82,7
123,36900,0.78,490.89,168600,7.92,9.54,20.66,7
124,37200,0.88,480.6,199400,7.26,9.38,16.06,7
125,37500,1.1,471.6,174680,6.16,9.38,145.08,5
126,37800,1.28,473.8,162000,6.54,9.24,153.84,7
127,38100,1.14,472.18,139600,7.14,9.4,22,7
128,38400,1.04,471.04,152000,6.64,9.22,22.58,5
129,38700,0.84,466.34,162200,6.54,9.12,12.58,8
130,39000,1.02,465.46,139600,6.08,9.14,16.88,7
131,39300,1.1,459.6,112940,5.72,9.04,10.84,5
132,39600,1.02,462.9,92980,6.16,9.26,13.52,9
133,39900,1.04,461.78,131800,5.8,9,146.18,8
134,40200,1.06,457.86,119180,5.76,9.1,16.94,7
135,40500,1.08,467.38,99080,6.46,9.1,84.76,5
136,40800,0.74,486.63,152700,8.04,9.36,285.32,5
137,41100,0.66,485.86,124740,8.08,9.4,77.98,8
138,41400,0.8,492.32,124800,8.46,9.48,20.44,7
139,41700,0.74,501.68,145800,8.62,9.46,26,7
140,42000,1.16,518.3,131600,8.54,9.4,41.88,5
141,42300,0.96,497.76,184000,7.96,9.46,21.22,5
142,42600,0.92,479.02,111700,7.26,9.4,19.76,8
143,42900,1.16,460.2,116700,6.4,9.26,26.06,8
144,43200,1.5,498.08,127800,7.46,9.26,62.42,8
145,43500,1.3,507.5,124160,7.54,9.08,60.52,7
146,43800,1.14,497.78,137400,7.4,8.92,52.72,7
147,44100,1.14,501.86,111800,7.54,8.9,51,7
148,44400,1.24,499.08,125400,7.88,8.96,56.04,8
149,44700,1.18,511.83,122600,7.58,8.88,64.18,8
150,45000,1.18,506.04,135000,7.2,8.78,65.54,7
151,45300,1.28,512.44,126400,5.58,8.46,119.92,5
152,45600,1.26,445.04,106300,3.56,8.4,274.58,8
153,45900,1.2,435.74,139600,3.06,8.5,351.34,7
154,46200,1.36,432.8,119800,3.06,8.72,349.66,5
155,46500,1.34,429.08,120600,2.56,8.6,349.22,8
156,46800,1.56,430.82,123400,2.66,8.64,346.54,8
157,47100,1.44,432.94,122200,2.54,8.54,343.04,7
158,47400,1.22,430.64,129660,3.7,8.3,356.26,7
159,47700,1.18,429.7,139600,3.16,8.4,76.88,8
160,48000,1.36,418.94,127200,1.64,8.54,14.42,8
161,48300,1.34,416.8,122920,1.52,8.52,14.8,5
162,48600,1.223333333,426.43,124223.3333,1.28,8.44,352.1,8
163,48900,1.266666667,441.4,140566.6667,1.1,8.28,334.36,9
164,49200,1.14,478.4,185400,1.2,8.4,329.34,5
165,49500,1.04,476.7,183200,0.16,8.26,337.34,8
166,49800,0.98,475.32,169200,-0.32,8.34,334.54,7
167,50100,1,480.58,161600,0,8.3,335.54,7
168,50400,1,478.1,151600,0.9,8.36,335.98,5
169,50700,0.98,472.94,130000,0.3,8.32,340.18,4
170,51000,0.78,474.16,156600,-0.14,8.28,337.2,8
171,51300,0.92,494.92,248200,2.92,8.28,333.74,7
172,51600,0.9,491.02,249000,1.94,8.38,336.44,7
173,51900,0.84,477.66,185600,-0.08,8.48,341.88,5
174,52200,0.88,473.4,215400,0.5,8.62,337.46,7
175,52500,0.86,467.48,209800,1.32,8.68,339.12,9
176,52800,0.82,471.02,231200,2.16,8.68,340.12,8
177,53100,0.86,475.04,268200,3.06,8.7,337.5,8
178,53400,0.86,474.62,230000,3.38,8.84,335.94,5
179,53700,0.8,463.3,191600,2.92,8.78,343.64,7
180,54000,0.88,456.58,202200,1.34,8.72,346.42,7
181,54300,0.86,462.1,231600,1.78,8.8,341.52,5
182,54600,0.82,463.94,235600,2.54,8.76,339.64,8
183,54900,0.78,476.54,226800,3.22,8.8,335.2,8
184,55200,0.84,472.58,233400,3.08,8.76,335.34,5
185,55500,0.78,464.16,194400,1.26,8.66,341.04,5
186,55800,0.9,475.46,239400,-1.82,8.7,346.6,9
187,56100,0.98,476.84,198400,-1.48,8.6,348.24,8
188,56400,0.98,480.04,202200,-2.58,8.6,352.12,8
189,56700,0.973333333,498.82,195600,-4.18,8.54,286.08,8
190,57000,1.046666667,503.5,160000,-4.42,8.42,351.3,8
191,57300,1.52,527.36,171600,-4.82,8.4,323.14,7
192,57600,2.22,536.52,117100,-6.2,8.82,310.22,8
193,57900,2.3,534.62,127800,-6.66,8.98,338.1,8
194,58200,1.64,520.28,107440,-6.34,8.92,352.42,7
195,58500,2.54,529.32,141000,-7.66,8.74,140.64,7
196,58800,2.38,504.3,124000,-7.4,8.64,6.3,8
197,59100,1.38,494.92,184800,-4,8.32,355.56,7
198,59400,0.96,473.66,174600,-1.54,8.38,352.46,7
199,59700,0.96,466.1,172600,-0.38,8.4,351.78,5
200,60000,1.02,465.62,201000,1.98,8.44,284.16,5
201,60300,0.86,453.16,185400,1.5,8.58,354.2,8
202,60600,1,474.82,222000,0.46,8.62,342.4,5
203,60900,0.92,468.11,188300,0.16,8.7,345.64,5
204,61200,0.98,458.1,190800,0.8,8.7,347.84,5
205,61500,0.88,458.88,192600,2.32,8.68,212.24,7
206,61800,0.86,457.14,205600,3.4,8.82,213.86,8
207,62100,0.88,452.58,207400,3.04,8.86,359.22,7
208,62400,0.82,453.12,201000,3.2,8.88,357.64,7
209,62700,0.79,456.23,201700,3.74,8.9,353.2,7
210,63000,0.9,454.26,234000,5.08,8.94,74.42,2
211,63300,0.96,459.36,191000,6.66,9.24,8.98,7
212,63600,1.1,471.68,237600,4.4,9.04,32.74,7
213,63900,1.28,475.26,226600,5.04,9.28,40.96,8
214,64200,1.06,463.66,212600,4.86,9.24,15.5,7
215,64500,1.02,472.1,205600,5,9.32,14.14,2
216,64800,1,467.01,206500,4.66,9.36,15.92,8
217,65100,1.08,473.56,205000,4.58,9.38,23.98,7
218,65400,1.02,469.18,228000,5.24,9.54,11.62,8
219,65700,1.16,467.02,243600,5.1,9.5,18.32,7
220,66000,0.98,466.18,227000,4.86,9.5,7.64,5
221,66300,1,469.28,240200,5.34,9.48,6.92,4
222,66600,0.96,469.84,219200,5.04,9.36,2.84,8
223,66900,1.01,467.09,216800,4.54,9.3,4.48,7
224,67200,0.98,464.6,199800,4.54,9.32,148.06,7
225,67500,0.96,465.5,213000,4.56,9.36,76.64,8
226,67800,1.18,483.64,246400,5.5,9.34,82.16,8
227,68100,0.98,463.02,212200,4.86,9.42,215.58,7
228,68400,0.9,458.94,193000,3.52,9.58,350.2,2
229,68700,0.85,456.3,196400,3.24,9.54,344.62,5
230,69000,0.82,460.78,204000,3.42,9.68,340.34,5
231,69300,0.86,457,210200,3.8,9.6,343.02,7
232,69600,0.84,451.46,186400,4.12,9.66,346.18,7
233,69900,0.88,447.72,178200,3.18,9.58,341.32,5
234,70200,0.9,447.16,177400,2.04,9.64,340.92,5
235,70500,0.9,443.76,195600,0.66,9.6,341.08,5
236,70800,0.86,450.12,203200,2.24,9.58,341.04,5
237,71100,0.8,452.16,199400,3.06,9.62,341.92,7
238,71400,0.72,451.06,209000,3.32,9.62,340.56,7
239,71700,0.68,447.92,200400,3.48,9.6,346.7,7
240,72000,0.7,446.6,207600,3.1,9.6,345.98,7
241,72300,0.64,443.32,206200,3.14,9.62,346.14,5
242,72600,0.625,447.955,186850,3.32,9.7,342.82,2
243,72900,0.665,443.835,188850,3.2,9.72,342.82,2
244,73200,0.655,443.955,194750,3.36,9.68,343.14,4
245,73500,0.655,441.035,198750,3.32,9.58,345.24,5
246,73800,0.66,435.78,191800,3.42,9.68,343.5,5
247,74100,0.74,434.66,184000,3.34,9.6,346.64,3
248,74400,0.78,431.48,177600,3.12,9.6,347.5,7
249,74700,0.78,430.52,171600,3.2,9.66,346.92,7
250,75000,0.72,430.84,167200,3.46,9.64,346.28,8
251,75300,0.78,434.42,196800,3.6,9.56,344.78,8
252,75600,0.8,439.26,203400,3.82,9.5,342.84,8
253,75900,0.76,449.62,204200,3.86,9.56,340.32,7
254,76200,0.7,440.22,223000,4.2,9.58,339.92,7
255,76500,0.74,431.36,209000,3.66,9.56,342.62,5
256,76800,0.75,442.34,224000,3.88,9.5,338.02,2
257,77100,0.8,444.16,214600,3.86,9.46,339.52,2
258,77400,0.78,444.32,212400,3.98,9.48,339.22,5
259,77700,0.74,443.82,203200,3.9,9.48,338,5
260,78000,0.72,448.1,191200,3.92,9.7,341.34,4
261,78300,0.76,450.3,186200,3.9,9.66,341.4,7
262,78600,0.71,453.86,175800,3.84,9.74,341.72,5
263,78900,0.74,459.88,183400,3.86,9.74,339.52,5
264,79200,0.7,469.02,178600,3.68,9.76,333.24,5
265,79500,0.74,470.34,162600,4.24,9.92,337.58,2
266,79800,0.78,468.78,172400,3.62,9.98,335.82,7
267,80100,0.78,479.28,169600,3.42,9.94,330.44,7
268,80400,0.92,488.86,181600,3.92,9.82,335.82,5
269,80700,0.97,495.05,168000,4.26,9.92,331.64,5
270,81000,0.9,505.7,182600,5.12,9.82,332.66,5
271,81300,0.86,499.7,174600,5.12,9.8,336.26,8
272,81600,0.82,492.26,169800,3.78,9.84,336.6,7
273,81900,0.78,474.26,180600,3.1,9.94,338.58,8
274,82200,0.78,480.92,150000,3.72,9.98,333.76,5
275,82500,0.8,468.16,180000,3.36,10.04,340.14,2
276,82800,0.81,472.15,155600,3.88,10.02,337.66,2
277,83100,0.82,469.78,138600,3.7,10.1,335,5
278,83400,0.82,471.24,154800,3.72,10,335.78,7
279,83700,0.78,470,143200,3.92,9.98,338.04,7
280,84000,0.88,471.86,125200,3.92,10.02,338.6,7
281,84300,0.86,470.58,121000,4.16,10.08,340.5,7
282,84600,0.95,473.19,114800,4.2,10.1,341.24,2
283,84900,1.06,484.78,123000,4,10.1,339.42,2
284,85200,1.2,487.84,117800,4.12,10.08,340.48,5
285,85500,1.08,483.48,142200,3.72,9.96,340.68,5
286,85800,0.98,478.48,161600,3.52,10.02,343.78,4
287,86100,1.02,484.08,144400,3.16,9.96,340.16,8
288,86400,0.94,481.14,165000,3.62,9.86,341.66,8
289,86700,0.92,480.99,198700,3.34,9.8,340.24,7
290,87000,0.96,478.5,167800,3.72,9.82,342.52,7
291,87300,0.9,476.36,176400,3.5,9.8,343.48,7
292,87600,0.86,475.06,170000,3.26,9.86,341.78,5
293,87900,0.84,471.34,170000,2.74,9.84,340.36,5
294,88200,0.86,476.86,194400,2.92,9.78,340.32,2
295,88500,0.84,476.58,190800,3,9.68,339.62,2
296,88800,0.86,480.44,190600,2.34,9.7,337.94,4
297,89100,0.9,480.14,202800,2.56,9.56,339.7,4
298,89400,0.94,475.12,208400,3.2,9.44,339.44,5
299,89700,1.06,475.9,235200,3.36,9.32,340.96,8
300,90000,1.2,492.22,262400,3.46,9.22,340.52,7
301,90300,1.16,489.64,229400,3.24,9.34,342.48,7
302,90600,1.42,489.48,191900,3.32,9.08,282.28,7
303,90900,1.92,494.96,177800,3.26,8.92,351.56,7
304,91200,1.9,489.82,182200,3.26,9.12,355.58,5
305,91500,1.84,486.98,170200,3.56,9.32,214.8,5
306,91800,1.6,488.06,181600,3.3,9.58,355.64,7
307,92100,1.48,533.04,331800,6.52,15.26,347.6,9
308,92400,1.64,565.4,310800,5.06,17.5,327.88,7
309,92700,1.38,567.78,343400,3.02,17.78,326.68,5
310,93000,1.48,570.4584615,389600,0.675,17.10333333,320.8933333,5
311,93300,1.4,575.7692308,369000,-1.2,17.16666667,323.2666667,2
312,93600,1.4,586.7307692,399000,-3.825,17.25,327.1,2
313,93900,1.88,587.6615385,369800,-3.32,18.16,322.16,2
314,94200,1.36,566.28,350600,-0.22,18.24,325.92,5
315,94500,0.92,541.88,366600,2.38,17.98,335.02,4
316,94800,1.2,555.24,281200,4.84,17.98,335.78,4
317,95100,1.24,567.32,246800,2.06,17.92,332.68,9
318,95400,1.12,553.92,273200,3.68,18.1,336.52,9
319,95700,1.18,575.12,220600,4.54,18.3,332.84,8
320,96000,1.18,613.42,103480,6.34,19.32,326.54,7
321,96300,1.2,619.1,109200,6.84,19.74,322.96,2
322,96600,1.2,615.5,139860,6.42,19.38,323.94,2
323,96900,1.54,620.32,129800,6.56,19.4,321.74,2
324,97200,1,619.86,129020,7.42,19.74,323.02,3
325,97500,0.84,612.8,150400,7.88,19.88,325.82,7
326,97800,0.82,612.64,146200,8.5,19.98,326.34,5
327,98100,0.84,600.88,205800,9.68,19.66,331.26,4
328,98400,1.35,587.98,234600,12.24,19.12,336.58,2
329,98700,1.5,582.48,237800,11.34,19.32,334.74,8
330,99000,1.8,580.34,208800,11.06,18.64,338.22,5
331,99300,1.82,603.94,184800,9.5,19.06,324.6,5
332,99600,3.38,612.72,150800,11.56,18.9,327.32,4
333,99900,2.38,611.2,89020,10.62,19.8,323.26,5
334,100200,1.88,611.94,91640,11.36,20.12,325.68,8
335,100500,1.69,609.34,131100,11.68,19.9,320.9,7
336,100800,2.08,608.62,111800,10.98,19.5,321.8,8
337,101100,3.24,611.18,103140,8.66,19.14,318.42,7
338,101400,3,597.82,92560,9.1,19.24,327.28,5
339,101700,3.12,599.12,98720,8.82,19.34,325.82,5
340,102000,2.6,594.76,116400,9.06,19.22,328.66,5
341,102300,2.9,593.16,106100,8.4,18.92,328.88,7
342,102600,3.58,591.62,103670,8.1,18.68,328.32,5
343,102900,3.28,599.34,77580,11.18,18.66,338.82,5
344,103200,2.5,604.6,103180,7.04,18.74,320.4,5
345,103500,3.24,610.64,106820,6.94,18.48,318.14,5
346,103800,4.26,612.88,97040,7.66,18.6,319.3,4
347,104100,3.78,605.04,99020,7.76,18.6,322.5,5
348,104400,4.24,606.42,87280,7.52,18.06,319.82,8
349,104700,4.46,613.6,99800,6.64,17.88,315.36,7
350,105000,5.14,614.1,109260,7.3,17.64,320.5,5
351,105300,4.16,607.82,101840,8.46,17.78,328,4
352,105600,4,606.98,107800,7.68,17.88,323.12,2
353,105900,3.66,603.24,118100,8.7,17.84,326.88,3
354,106200,3.74,598.76,140400,9.52,17.56,331.64,3
355,106500,4.47,609.97,116080,9.54,18.16,323.86,7
356,106800,4.72,614.84,98960,10.1,18.8,326.32,4
357,107100,4.36,620.66,80560,10.62,19.02,322.78,4
358,107400,3.94,620.44,95580,10.02,18.78,322.04,4
359,107700,4.08,626.56,87980,10.32,18.66,320.04,2
360,108000,4.04,630.22,86060,10.32,17.7,321.5,2
361,108300,3.32,628.82,99680,9.94,18.44,318.94,2
362,108600,3.65,621.52,98510,8.14,18.88,317.68,5
363,108900,3.98,624.66,104560,8,18.92,315.06,7
364,109200,4.18,623.72,90520,7.3,18.82,315.6,8
