,Unnamed: 0,cumulative_secs,proton_density,speed,ion_temp,bz,bt,phi_angle,kp_index,midi_spec_band_grain_id,midi_rms_grain_id,midi_mfcc_grain_id,dp_spec_band_grain_id,dp_rms_grain_id,dp_mfcc_grain_id,bz_scaled,speed_scaled
33,33,9900,1.36,462.92,117200.0,-4.24,9.92,326.48,8,116.0,83.0,986.0,231.0,1775.0,1599.0,2092.4298270484833,1.201451122462292
34,34,10200,1.2,468.34,117040.0,-4.28,9.92,325.32,8,1596.0,1133.0,1820.0,1039.0,706.0,742.0,2089.594556280125,1.206890322839624
35,35,10500,1.24,460.66,103120.0,-3.58,10.02,328.7,8,1828.0,1495.0,1543.0,1852.0,693.0,332.0,2139.211794726397,1.1991831164008953
36,36,10800,1.24,460.1,118600.0,-3.86,9.94,324.24,8,1377.0,559.0,968.0,1795.0,215.0,1258.0,2119.364899347888,1.1986211325980711
37,37,11100,1.14,461.0,126160.0,-3.7,10.06,321.98,8,729.0,1461.0,1823.0,252.0,799.0,406.0,2130.7059824213216,1.1995243208526096
38,38,11400,1.28,466.26,117800.0,-3.36,10.2,321.12,8,1152.0,684.0,284.0,570.0,668.0,1864.0,2154.8057839523676,1.2048029544291348
39,39,11700,1.3,472.92,134600.0,-3.54,10.34,320.92,9,1743.0,299.0,1066.0,1319.0,186.0,1190.0,2142.047065494755,1.21148654751272
40,40,12000,1.34,473.52,136200.0,-3.92,10.2,322.38,8,1625.0,924.0,1964.0,1557.0,19.0,739.0,2115.1119931953504,1.2120886730157456
41,41,12300,1.28,480.62,136200.0,-3.8,10.3,319.36,8,1997.0,1135.0,936.0,1673.0,397.0,1621.0,2123.617805500425,1.2192138248015494
42,42,12600,1.18,482.54,133000.0,-3.86,10.18,319.54,8,1818.0,472.0,328.0,880.0,713.0,373.0,2119.364899347888,1.2211406264112317
43,43,12900,1.38,478.38,133200.0,-3.54,10.14,318.72,9,384.0,171.0,585.0,998.0,696.0,6.0,2142.047065494755,1.2169658895902535
44,44,13200,1.28,486.27,146000.0,-4.38,10.18,318.6,9,1270.0,555.0,95.0,94.0,125.0,57.0,2082.506379359229,1.2248838399550412
45,45,13500,1.38,479.04,142400.0,-2.72,10.0,318.88,8,1584.0,1148.0,1634.0,1094.0,227.0,803.0,2200.1701162461018,1.217628227643582
46,46,13800,1.42,480.66,136600.0,-3.08,9.98,317.58,8,1343.0,1264.0,721.0,1181.0,1841.0,812.0,2174.6526793308763,1.2192539665017512
47,47,14100,1.34,482.38,132400.0,-2.66,9.92,316.82,8,1594.0,764.0,1293.0,548.0,928.0,1201.0,2204.423022398639,1.2209800596104248
48,48,14400,1.34,478.26,125200.0,-1.94,9.9,317.84,8,190.0,966.0,1832.0,1069.0,1143.0,1929.0,2255.45789622909,1.2168454644896485
49,49,14700,1.4,479.5,133600.0,-1.64,9.74,317.26,8,436.0,1622.0,1450.0,1746.0,1277.0,1276.0,2276.722426991778,1.2180898571959016
50,50,15000,1.44,479.03,132100.0,-1.92,9.72,318.48,8,1720.0,740.0,396.0,92.0,1784.0,691.0,2256.8755316132692,1.2176181922185314
51,51,15300,1.4,482.14,153600.0,-2.5,9.96,317.56,8,42.0,1559.0,1005.0,1313.0,1789.0,977.0,2215.764105472073,1.2207392094092144
52,52,15600,1.38,478.48,139800.0,-3.76,9.8,319.64,8,432.0,691.0,1649.0,1485.0,64.0,535.0,2126.4530762687837,1.2170662438407578
53,53,15900,1.22,474.02,135600.0,-3.4,9.9,321.22,8,113.0,709.0,1254.0,144.0,592.0,1863.0,2151.970513184009,1.212590444268267
54,54,16200,1.36,471.44,145200.0,-3.2,9.84,320.72,8,1612.0,1588.0,928.0,122.0,1866.0,318.0,2166.146867025801,1.2100013046052565
55,55,16500,1.42,476.74,156600.0,-3.74,10.02,318.12,9,518.0,845.0,876.0,1689.0,241.0,644.0,2127.8707116529627,1.2153200798819834
56,56,16800,1.56,478.58,146800.0,-4.08,10.18,319.88,8,1972.0,115.0,315.0,1245.0,807.0,1768.0,2103.7709101219166,1.217166598091262
57,57,17100,1.47,490.21,168000.0,-3.52,10.3,315.4,9,1623.0,749.0,1690.0,926.0,757.0,532.0,2143.464700878934,1.2288377974249098
58,58,17400,1.46,473.4,145000.0,-3.38,10.38,321.16,8,1539.0,690.0,1997.0,1585.0,579.0,1397.0,2153.3881485681886,1.2119682479151404
59,59,17700,1.56,463.6,119800.0,-4.84,10.34,319.28,8,559.0,844.0,1221.0,18.0,15.0,1816.0,2049.9007655231076,1.202133531365721
60,60,18000,1.58,466.78,123400.0,-4.84,10.48,317.2,7,287.0,1046.0,1056.0,161.0,398.0,1602.0,2049.9007655231076,1.205324796531757
61,61,18300,1.62,465.24,127200.0,-4.46,10.24,319.22,7,693.0,661.0,938.0,1062.0,22.0,1504.0,2076.835837822512,1.2037793410739912
62,62,18600,1.62,467.72,125400.0,-4.12,10.14,316.68,7,26.0,562.0,485.0,386.0,20.0,1750.0,2100.935639353558,1.2062681264864974
63,63,18900,1.526666667,452.26,121520.0,-3.72,10.06,318.22,7,1689.0,757.0,868.0,14.0,825.0,771.0,2129.288347037142,1.1907533593585355
64,64,19200,1.073333333,395.72,77780.0,-2.46,9.9,318.96,7,1863.0,484.0,1554.0,1723.0,1145.0,17.0,2218.599376240431,1.1340130661234156
65,65,19500,1.62,459.02,122600.0,-1.98,9.66,317.08,8,1171.0,1398.0,103.0,713.0,1274.0,1605.0,2252.6226254607313,1.197537306692625
66,66,19800,1.34,460.8,129800.0,-4.76,9.68,323.92,7,1851.0,1462.0,1808.0,1347.0,746.0,777.0,2055.5713070598244,1.1993236123516011
67,67,20100,1.56,463.54,126000.0,-3.66,9.44,318.14,7,1726.0,1136.0,541.0,1345.0,502.0,384.0,2133.5412531896795,1.2020733188154185
68,68,20400,1.78,459.14,118000.0,-2.98,9.4,317.92,7,1569.0,1553.0,1683.0,1386.0,1177.0,354.0,2181.740856251772,1.19765773179323
69,69,20700,1.66,460.9,118800.0,-1.16,9.26,318.84,7,1301.0,1139.0,773.0,313.0,468.0,1413.0,2310.7456762120787,1.1994239666021054
70,70,21000,1.96,482.46,157600.0,-1.48,10.56,314.08,7,1371.0,400.0,403.0,893.0,1933.0,1682.0,2288.0635100652116,1.2210603430108282
71,71,21300,1.64,482.78,168800.0,-0.84,10.52,314.74,7,107.0,1291.0,1674.0,1146.0,774.0,1027.0,2333.4278423589453,1.2213814766124418
72,72,21600,1.48,479.28,155000.0,-1.52,10.38,316.3,8,1650.0,657.0,439.0,1339.0,820.0,915.0,2285.2282392968527,1.217869077844792
73,73,21900,1.52,475.3,145200.0,-2.94,10.2,319.06,8,10.0,1430.0,1985.0,1769.0,927.0,551.0,2184.5761270201306,1.2138749786747218
74,74,22200,1.52,473.64,128000.0,-3.06,10.06,320.06,8,1167.0,565.0,190.0,1346.0,811.0,1155.0,2176.0703147150552,1.2122090981163507
75,75,22500,1.52,480.64,126000.0,-2.34,10.04,319.74,8,328.0,768.0,1250.0,486.0,571.0,335.0,2227.1051885455063,1.2192338956516502
76,76,22800,1.66,488.88,144000.0,-2.0,9.96,314.2,8,537.0,596.0,804.0,891.0,736.0,858.0,2251.2049900765523,1.227503085893203
77,77,23100,1.59,486.36,138400.0,-1.9,9.92,315.58,8,1711.0,922.0,597.0,1247.0,923.0,593.0,2258.2931669974487,1.2249741587804952
78,78,23400,1.56,478.42,125400.0,-0.42,9.82,316.2,8,1698.0,1922.0,267.0,933.0,773.0,631.0,2363.1981854267083,1.2170060312904554
79,79,23700,1.56,472.0,129000.0,-0.84,9.88,319.9,7,1306.0,595.0,1177.0,1627.0,1836.0,1158.0,2333.4278423589453,1.2105632884080806
80,80,24000,1.46,470.52,125600.0,-1.56,9.88,319.0,8,228.0,874.0,1675.0,429.0,1114.0,1930.0,2282.3929685284943,1.2090780455006171
81,81,24300,1.52,467.62,121200.0,-1.48,9.8,323.72,8,1443.0,503.0,187.0,903.0,1925.0,1486.0,2288.0635100652116,1.2061677722359931
82,82,24600,1.52,465.64,126600.0,-1.36,9.78,319.98,8,2013.0,1422.0,1374.0,407.0,480.0,1174.0,2296.5693223702865,1.2041807580760082
83,83,24900,1.32,453.97,122580.0,-0.66,9.8,315.56,7,1554.0,440.0,675.0,1860.0,1893.0,1812.0,2346.186560816558,1.1924694170421588
84,84,25200,1.1,443.04,134360.0,-2.8,9.72,308.1,8,1832.0,553.0,1401.0,1272.0,915.0,1853.0,2194.499574709385,1.181500697462041
